page,text,identifier_range_y0,identifier_range_y1
7,173824,343.0304,354.67040000000003
7,173867,354.67040000000003,366.3104
7,173696,366.3104,377.9504
7,173913,377.9504,389.5904
7,173906,389.5904,406.9904
7,173997,406.9904,424.41040000000004
7,173879,424.41040000000004,436.0504
7,173289,436.0504,447.6904
7,174100,447.6904,459.3304
7,174545,459.3304,476.73040000000003
7,130601,476.73040000000003,494.1304
7,174924,494.1304,505.7704
7,136071,505.7704,517.4104
7,138872,517.4104,529.0504000000001
7,175619,529.0504000000001,540.6904
7,138875,540.6904,552.3304
7,158582,552.3304,563.9704
7,140886,563.9704,575.6104
7,140896,575.6104,587.2504
7,164337,587.2504,598.8904
7,173195,598.8904,610.5604000000001
7,158688,610.5604000000001,622.2004
7,144097,622.2004,633.8404
7,144089,633.8404,645.4804
7,146286,645.4804,657.1204
7,146290,657.1204,668.7604
7,146298,668.7604,680.4004
7,158612,680.4004,692.0404
7,149805,692.0404,703.6764000000001
7,159299,703.6764000000001,715.3164
7,159186,715.3164,726.9564
7,168172,726.9564,738.5964
7,153410,738.5964,750.2364
7,158541,750.2364,761.8764
8,Ref,761.8764,69.64999999999998
8,158003,69.64999999999998,86.92039999999997
